,id,symbol,type,opened,closed,avgCost,avgClosePrice,closingPnl,maxOpenInterest,closedVolume,isolated,side,status,updateTime
1562,16096031,DOGEUSDT,UM,1709618317689,1709619372414,0.1797976,0.18061,0.48337999,595.0,595.0,Cross,Long,All Closed,1709671912778
1563,16095997,MATICUSDT,UM,1709618312957,1709644070542,1.1371,1.1485,0.4218,37.0,37.0,Cross,Long,All Closed,1709672219310
1564,16093881,DOGEUSDT,UM,1709618028821,1709618310108,0.18198,0.1828,0.13694,167.0,167.0,Cross,Long,All Closed,1709671845658
1565,16093099,DOGEUSDT,UM,1709617883623,1709618021405,0.18147,0.18229,0.13694,167.0,167.0,Cross,Long,All Closed,1709671817365
1566,16093011,DOGEUSDT,UM,1709617870945,1709617879830,0.181,0.18181,0.13608,168.0,168.0,Cross,Long,All Closed,1709671755922
1567,16091475,DOGEUSDT,UM,1709617613185,1709617862292,0.18112,0.18193,0.13608,168.0,168.0,Cross,Long,All Closed,1709671780551
1568,16081359,DOGEUSDT,UM,1709616155150,1709617603595,0.18062396,0.18144,0.48227999,591.0,591.0,Cross,Long,All Closed,1709671758597
1569,16080118,MATICUSDT,UM,1709616064695,1709618305388,1.1263,1.1376,0.4181,37.0,37.0,Cross,Long,All Closed,1709671315454
1570,16078497,DOGEUSDT,UM,1709615881867,1709616114955,0.1826,0.18342,0.13612,166.0,166.0,Cross,Long,All Closed,1709671667128
1571,16074829,DOGEUSDT,UM,1709615546022,1709615853894,0.18105,0.18186,0.13527,167.0,167.0,Cross,Long,All Closed,1709671637919
1572,16074363,DOGEUSDT,UM,1709615505047,1709615540422,0.18072,0.18153,0.13608,168.0,168.0,Cross,Long,All Closed,1709671641646
1573,16073793,DOGEUSDT,UM,1709615463637,1709615497282,0.17982,0.18063,0.13689,169.0,169.0,Cross,Long,All Closed,1709671615589
1574,16073206,DOGEUSDT,UM,1709615416542,1709615445192,0.17863,0.17943,0.136,170.0,170.0,Cross,Long,All Closed,1709671612299
1575,16072325,DOGEUSDT,UM,1709615238379,1709615398938,0.17757,0.17837,0.1368,171.0,171.0,Cross,Long,All Closed,1709671620884
1576,16070965,DOGEUSDT,UM,1709615126983,1709615225177,0.17627,0.17706,0.13588,172.0,172.0,Cross,Long,All Closed,1709671601138
1577,16069652,DOGEUSDT,UM,1709615090299,1709615114702,0.17568,0.17647,0.13588,172.0,172.0,Cross,Long,All Closed,1709671647788
1578,16069381,DOGEUSDT,UM,1709615078240,1709615085660,0.17484,0.17563,0.13667,173.0,173.0,Cross,Long,All Closed,1709671557938
1579,16059406,DOGEUSDT,UM,1709614500217,1709615064596,0.17423433,0.17476004,4.13940997,7874.0,7874.0,Cross,Long,All Closed,1709671581539
1580,16058973,DOGEUSDT,UM,1709614466020,1709614481680,0.1829,0.18372,0.1353,165.0,165.0,Cross,Long,All Closed,1709671553993
1581,16058397,DOGEUSDT,UM,1709614418598,1709614455573,0.18176,0.18258,0.13612,166.0,166.0,Cross,Long,All Closed,1709671509281
1582,16058261,DOGEUSDT,UM,1709614403974,1709614414135,0.18152,0.18234,0.13612,166.0,166.0,Cross,Long,All Closed,1709671468903
1583,16058124,DOGEUSDT,UM,1709614390464,1709614396552,0.18101,0.18182,0.13527,167.0,167.0,Cross,Long,All Closed,1709671498385
1584,16056381,DOGEUSDT,UM,1709614274652,1709614384601,0.1796,0.18041,0.13608,168.0,168.0,Cross,Long,All Closed,1709671513532
1585,16045535,DOGEUSDT,UM,1709613115259,1709614265897,0.17856228,0.1790961,4.08798997,7658.0,7658.0,Cross,Long,All Closed,1709671479450
1586,16045375,DOGEUSDT,UM,1709613092850,1709613106654,0.18781,0.18865,0.1344,160.0,160.0,Cross,Long,All Closed,1709671408256
1587,16040411,DOGEUSDT,UM,1709612476125,1709613067789,0.18699,0.18783,0.13524,161.0,161.0,Cross,Long,All Closed,1709671414137
1588,16039495,DOGEUSDT,UM,1709612412706,1709612466959,0.18579,0.18662,0.13446,162.0,162.0,Cross,Long,All Closed,1709671354265
1589,16035534,MATICUSDT,UM,1709611950932,1709616028795,1.11644158,1.1277,1.1371,101.0,101.0,Cross,Long,All Closed,1709671162630
1590,16034887,DOGEUSDT,UM,1709611887964,1709612387628,0.18872286,0.18957,0.47693999,563.0,563.0,Cross,Long,All Closed,1709671332026
1591,16034607,DOGEUSDT,UM,1709611851613,1709611868234,0.19113,0.19199,0.13502,157.0,157.0,Cross,Long,All Closed,1709671283834
1592,16032893,DOGEUSDT,UM,1709611709399,1709611828623,0.18908709,0.18990221,1.61229999,1978.0,1978.0,Cross,Long,All Closed,1709671247095
1593,16031075,MATICUSDT,UM,1709611496340,1709611919527,1.1359,1.1473,0.4104,36.0,36.0,Cross,Long,All Closed,1709670947415
1594,16021321,DOGEUSDT,UM,1709609342547,1709609450618,0.19451,0.19538,0.13398,154.0,154.0,Cross,Long,All Closed,1709671124482
1595,16017889,DOGEUSDT,UM,1709608375913,1709608399764,0.19432,0.19559,0.19558,154.0,154.0,Cross,Long,All Closed,1709671110699
1596,16015082,DOGEUSDT,UM,1709607731328,1709608096778,0.1943,0.19517,0.13398,154.0,154.0,Cross,Long,All Closed,1709671014499
1597,16010395,DOGEUSDT,UM,1709607315746,1709607324264,0.19424,0.19511,0.13398,154.0,154.0,Cross,Long,All Closed,1709671038491
1598,16010217,DOGEUSDT,UM,1709607208186,1709607245015,0.19424,0.19511,0.13398,154.0,154.0,Cross,Long,All Closed,1709671053889
1599,16007761,DOGEUSDT,UM,1709606244514,1709606838843,0.19439,0.19526,0.13398,154.0,154.0,Cross,Long,All Closed,1709671056839
1600,16006964,DOGEUSDT,UM,1709605915740,1709605921287,0.19434,0.19521,0.13398,154.0,154.0,Cross,Long,All Closed,1709670987484
1601,16006285,DOGEUSDT,UM,1709605814367,1709605872228,0.19435,0.19522,0.13398,154.0,154.0,Cross,Long,All Closed,1709670952848
1602,15930626,DOGEUSDT,UM,1709590978730,1709591235627,0.1756,0.17639,0.13509,171.0,171.0,Cross,Long,All Closed,1709591235841
1603,15926016,DOGEUSDT,UM,1709589364393,1709589408595,0.17508,0.17587,0.13509,171.0,171.0,Cross,Long,All Closed,1709589408748
1604,15923664,DOGEUSDT,UM,1709588480032,1709589359065,0.1747,0.17548,0.13416,172.0,172.0,Cross,Long,All Closed,1709589359230
1605,15913521,DOGEUSDT,UM,1709585329683,1709588470713,0.17404192,0.17482,0.47384999,609.0,609.0,Cross,Long,All Closed,1709588472663
1606,15913281,DOGEUSDT,UM,1709585304360,1709585322284,0.17681,0.1776,0.1343,170.0,170.0,Cross,Long,All Closed,1709585322445
1607,15906572,MATICUSDT,UM,1709583202826,1709611464073,1.12221287,1.1335,1.14,101.0,101.0,Cross,Long,All Closed,1709670879634
1608,15905059,DOGEUSDT,UM,1709582720340,1709582745738,0.17515,0.17594,0.13509,171.0,171.0,Cross,Long,All Closed,1709582745902
1609,15891614,DOGEUSDT,UM,1709579171178,1709580006582,0.17435,0.17513,0.13416,172.0,172.0,Cross,Long,All Closed,1709580006806
1610,15889706,DOGEUSDT,UM,1709578829066,1709579092473,0.17438,0.17516,0.13416,172.0,172.0,Cross,Long,All Closed,1709579092721
1611,15888552,MATICUSDT,UM,1709578736994,1709583198632,1.1383,1.1497,0.4104,36.0,36.0,Cross,Long,All Closed,1709583198765
1612,15885682,DOGEUSDT,UM,1709578311050,1709578345308,0.17434,0.17512,0.13416,172.0,172.0,Cross,Long,All Closed,1709578345612
1613,15883947,DOGEUSDT,UM,1709578027059,1709578050361,0.17431,0.17509,0.13416,172.0,172.0,Cross,Long,All Closed,1709578050573
1614,15882324,DOGEUSDT,UM,1709577761343,1709578018982,0.17365,0.17443,0.13416,172.0,172.0,Cross,Long,All Closed,1709578019137
1615,15881398,DOGEUSDT,UM,1709577588649,1709577755422,0.17289,0.17367,0.13494,173.0,173.0,Cross,Long,All Closed,1709577755563
1616,15880868,DOGEUSDT,UM,1709577524291,1709577583035,0.17197,0.17274,0.13398,174.0,174.0,Cross,Long,All Closed,1709577583618
1617,15879008,DOGEUSDT,UM,1709577208365,1709577496164,0.17095,0.17172,0.13475,175.0,175.0,Cross,Long,All Closed,1709577496295
1618,15878262,DOGEUSDT,UM,1709577090395,1709577195163,0.16983,0.17059,0.13376,176.0,176.0,Cross,Long,All Closed,1709577196622
1619,15875790,DOGEUSDT,UM,1709576860007,1709577083247,0.16938,0.17014,0.13452,177.0,177.0,Cross,Long,All Closed,1709577083439
1620,15871491,DOGEUSDT,UM,1709576169691,1709576845638,0.16997208,0.1707051,1.60017999,2183.0,2183.0,Cross,Long,All Closed,1709576845781
1621,15871122,DOGEUSDT,UM,1709576130281,1709576150936,0.17556,0.17635,0.1343,170.0,170.0,Cross,Long,All Closed,1709576151474
1622,15870738,DOGEUSDT,UM,1709576080082,1709576112697,0.17433,0.17511,0.13338,171.0,171.0,Cross,Long,All Closed,1709576112860
1623,15870374,DOGEUSDT,UM,1709576015089,1709576065519,0.17364,0.17442,0.13416,172.0,172.0,Cross,Long,All Closed,1709576065656
1624,15869030,DOGEUSDT,UM,1709575889329,1709575984408,0.17296634,0.17374,0.47116,609.0,609.0,Cross,Long,All Closed,1709575989799
1625,15868577,DOGEUSDT,UM,1709575824258,1709575883629,0.17572,0.17651,0.1343,170.0,170.0,Cross,Long,All Closed,1709575884335
1626,15863100,DOGEUSDT,UM,1709575174083,1709575267720,0.17562,0.17641,0.1343,170.0,170.0,Cross,Long,All Closed,1709575279209
1627,15862200,DOGEUSDT,UM,1709575037092,1709575097068,0.17561,0.1764,0.1343,170.0,170.0,Cross,Long,All Closed,1709575097221
1628,15859680,DOGEUSDT,UM,1709574632660,1709574850608,0.1756,0.17639,0.1343,170.0,170.0,Cross,Long,All Closed,1709574850777
1629,15859067,DOGEUSDT,UM,1709574577984,1709574594633,0.1756,0.17639,0.1343,170.0,170.0,Cross,Long,All Closed,1709574594855
1630,15857755,DOGEUSDT,UM,1709574487248,1709574552935,0.1756,0.17639,0.1343,170.0,170.0,Cross,Long,All Closed,1709574563813
1631,15856971,DOGEUSDT,UM,1709574467707,1709574473567,0.17559,0.17638,0.1343,170.0,170.0,Cross,Long,All Closed,1709574498258
